topic,sub_step,name,difficulty,link
Learn the basics,Things to Know in C++/Java/Python or any language,Input Output,Easy,https://takeuforward.org/c/c-basic-input-output/
Learn the basics,Things to Know in C++/Java/Python or any language,Cpp Basics,Easy,https://takeuforward.org/data-structure/what-are-arrays-strings
Learn the basics,Things to Know in C++/Java/Python or any language,If ElseIf,Easy,https://takeuforward.org/if-else/if-else-statements/
Learn the basics,Things to Know in C++/Java/Python or any language,Switch Case,Easy,https://takeuforward.org/switch-case/switch-case-statements/
Learn the basics,Things to Know in C++/Java/Python or any language,"What are arrays, strings?",Easy,https://takeuforward.org/data-structure/what-are-arrays-strings
Learn the basics,Things to Know in C++/Java/Python or any language,For loops,Easy,https://takeuforward.org/for-loop/understanding-for-loop/
Learn the basics,Things to Know in C++/Java/Python or any language,While loops,Easy,https://takeuforward.org/while-loop/while-loops-in-programming/
Learn the basics,Things to Know in C++/Java/Python or any language,Functions (Pass by Reference and Value),Easy,https://takeuforward.org/data-structure/functions-pass-by-reference-and-value
Learn the basics,Things to Know in C++/Java/Python or any language,Theory with examples,Easy,https://takeuforward.org/time-complexity/time-and-space-complexity-strivers-a2z-dsa-course/
Learn the basics,Build-up Logical Thinking,Easy and Medium,Easy,https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/
Learn the basics,Build-up Logical Thinking,Hard,Easy,https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/
Learn the basics,Patterns,Pattern 1,Easy,https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/
Learn the basics,Patterns,Pattern 2,Easy,https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/
Learn the basics,Patterns,Pattern 3,Easy,https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/
